,0,1,2
0,68.0,60.0,2198.0
1,68.0,60.0,2199.0
2,68.0,60.0,2200.0
3,68.0,71.0,2229.0
4,68.0,71.0,2230.0
5,68.0,71.0,2231.0
6,68.0,71.0,2485.0
7,68.0,71.0,2486.0
8,68.0,71.0,2487.0
9,68.0,71.0,2741.0
10,68.0,71.0,2742.0
11,68.0,71.0,2743.0
12,68.0,71.0,2997.0
13,68.0,71.0,2998.0
14,68.0,71.0,2999.0
15,68.0,71.0,3253.0
16,68.0,71.0,3254.0
17,68.0,71.0,3255.0
18,68.0,71.0,3509.0
19,68.0,71.0,3510.0
20,68.0,71.0,3511.0
21,68.0,71.0,3765.0
22,68.0,71.0,3766.0
23,68.0,71.0,3767.0
24,68.0,72.0,2228.0
25,68.0,72.0,2484.0
26,68.0,72.0,2740.0
27,68.0,72.0,2996.0
28,68.0,72.0,3252.0
29,68.0,72.0,3508.0
30,68.0,72.0,3764.0
31,69.0,60.0,2199.0
32,69.0,60.0,2200.0
33,69.0,71.0,2230.0
34,69.0,71.0,2231.0
35,69.0,71.0,2486.0
36,69.0,71.0,2487.0
37,69.0,71.0,2742.0
38,69.0,71.0,2743.0
39,69.0,71.0,2998.0
40,69.0,71.0,2999.0
41,69.0,71.0,3254.0
42,69.0,71.0,3255.0
43,69.0,71.0,3510.0
44,69.0,71.0,3511.0
45,69.0,71.0,3766.0
46,69.0,71.0,3767.0
47,69.0,72.0,2228.0
48,69.0,72.0,2484.0
49,69.0,72.0,2740.0
50,69.0,72.0,2996.0
51,69.0,72.0,3252.0
52,69.0,72.0,3508.0
53,69.0,72.0,3764.0
54,70.0,49.0,2217.0
55,70.0,49.0,2218.0
56,70.0,49.0,2473.0
57,70.0,49.0,2474.0
58,70.0,49.0,2729.0
59,70.0,49.0,2730.0
60,70.0,49.0,2985.0
61,70.0,49.0,2986.0
62,70.0,49.0,3241.0
63,70.0,49.0,3242.0
64,70.0,49.0,3497.0
65,70.0,49.0,3498.0
66,70.0,49.0,3753.0
67,70.0,49.0,3754.0
68,70.0,71.0,2229.0
69,70.0,71.0,2485.0
70,70.0,71.0,2741.0
71,70.0,71.0,2997.0
72,70.0,71.0,3253.0
73,70.0,71.0,3509.0
74,70.0,71.0,3765.0
75,70.0,72.0,2227.0
76,70.0,72.0,2228.0
77,70.0,72.0,2483.0
78,70.0,72.0,2484.0
79,70.0,72.0,2739.0
80,70.0,72.0,2740.0
81,70.0,72.0,2995.0
82,70.0,72.0,2996.0
83,70.0,72.0,3251.0
84,70.0,72.0,3252.0
85,70.0,72.0,3507.0
86,70.0,72.0,3508.0
87,70.0,72.0,3763.0
88,70.0,72.0,3764.0
89,70.0,73.0,2226.0
90,70.0,73.0,2482.0
91,70.0,73.0,2738.0
92,70.0,73.0,2994.0
93,70.0,73.0,3250.0
94,70.0,73.0,3506.0
95,70.0,73.0,3762.0
96,71.0,39.0,2224.0
97,71.0,39.0,2225.0
98,71.0,39.0,2480.0
99,71.0,39.0,2481.0
100,71.0,39.0,2736.0
101,71.0,39.0,2737.0
102,71.0,39.0,2992.0
103,71.0,39.0,2993.0
104,71.0,39.0,3248.0
105,71.0,39.0,3249.0
106,71.0,39.0,3504.0
107,71.0,39.0,3505.0
108,71.0,39.0,3760.0
109,71.0,39.0,3761.0
110,71.0,43.0,2223.0
111,71.0,43.0,2224.0
112,71.0,43.0,2225.0
113,71.0,43.0,2226.0
114,71.0,49.0,2217.0
115,71.0,49.0,2218.0
116,71.0,49.0,2473.0
117,71.0,49.0,2474.0
118,71.0,49.0,2729.0
119,71.0,49.0,2730.0
120,71.0,49.0,2985.0
121,71.0,49.0,2986.0
122,71.0,49.0,3241.0
123,71.0,49.0,3242.0
124,71.0,49.0,3497.0
125,71.0,49.0,3498.0
126,71.0,49.0,3753.0
127,71.0,49.0,3754.0
128,71.0,60.0,2221.0
129,71.0,71.0,2227.0
130,71.0,71.0,2228.0
131,71.0,71.0,2229.0
132,71.0,71.0,2483.0
133,71.0,71.0,2484.0
134,71.0,71.0,2485.0
135,71.0,71.0,2739.0
136,71.0,71.0,2740.0
137,71.0,71.0,2741.0
138,71.0,71.0,2995.0
139,71.0,71.0,2996.0
140,71.0,71.0,2997.0
141,71.0,71.0,3251.0
142,71.0,71.0,3252.0
143,71.0,71.0,3253.0
144,71.0,71.0,3507.0
145,71.0,71.0,3508.0
146,71.0,71.0,3509.0
147,71.0,71.0,3763.0
148,71.0,71.0,3764.0
149,71.0,71.0,3765.0
150,71.0,72.0,2225.0
151,71.0,72.0,2226.0
152,71.0,72.0,2227.0
153,71.0,72.0,2228.0
154,71.0,72.0,2481.0
155,71.0,72.0,2482.0
156,71.0,72.0,2483.0
157,71.0,72.0,2484.0
158,71.0,72.0,2737.0
159,71.0,72.0,2738.0
160,71.0,72.0,2739.0
161,71.0,72.0,2740.0
162,71.0,72.0,2993.0
163,71.0,72.0,2994.0
164,71.0,72.0,2995.0
165,71.0,72.0,2996.0
166,71.0,72.0,3249.0
167,71.0,72.0,3250.0
