,0,1,2
0,73.0,71.0,2221.0
1,73.0,71.0,2222.0
2,73.0,71.0,2733.0
3,73.0,71.0,2734.0
4,73.0,71.0,2989.0
5,73.0,71.0,2990.0
6,73.0,71.0,3245.0
7,73.0,71.0,3246.0
8,73.0,71.0,3757.0
9,73.0,71.0,3758.0
10,73.0,72.0,2221.0
11,73.0,72.0,2222.0
12,73.0,72.0,2733.0
13,73.0,72.0,2734.0
14,73.0,72.0,2989.0
15,73.0,72.0,2990.0
16,73.0,72.0,3245.0
17,73.0,72.0,3246.0
18,73.0,72.0,3757.0
19,73.0,72.0,3758.0
20,74.0,71.0,2221.0
21,74.0,71.0,2222.0
22,74.0,71.0,2733.0
23,74.0,71.0,2734.0
24,74.0,71.0,2989.0
25,74.0,71.0,2990.0
26,74.0,71.0,3245.0
27,74.0,71.0,3246.0
28,74.0,71.0,3757.0
29,74.0,71.0,3758.0
30,74.0,72.0,2221.0
31,74.0,72.0,2222.0
32,74.0,72.0,2733.0
33,74.0,72.0,2734.0
34,74.0,72.0,2989.0
35,74.0,72.0,2990.0
36,74.0,72.0,3245.0
37,74.0,72.0,3246.0
38,74.0,72.0,3757.0
39,74.0,72.0,3758.0
40,74.0,79.0,2231.0
41,74.0,79.0,2232.0
42,75.0,42.0,2224.0
43,75.0,42.0,2225.0
44,75.0,42.0,2480.0
45,75.0,42.0,2481.0
46,75.0,42.0,2736.0
47,75.0,42.0,2737.0
48,75.0,42.0,2992.0
49,75.0,42.0,2993.0
50,75.0,42.0,3248.0
51,75.0,42.0,3249.0
52,75.0,42.0,3504.0
53,75.0,42.0,3505.0
54,75.0,42.0,3760.0
55,75.0,42.0,3761.0
56,75.0,43.0,2222.0
57,75.0,43.0,2223.0
58,75.0,43.0,2224.0
59,75.0,43.0,2225.0
60,75.0,43.0,2478.0
61,75.0,43.0,2479.0
62,75.0,43.0,2480.0
63,75.0,43.0,2481.0
64,75.0,43.0,2734.0
65,75.0,43.0,2735.0
66,75.0,43.0,2736.0
67,75.0,43.0,2737.0
68,75.0,43.0,2990.0
69,75.0,43.0,2991.0
70,75.0,43.0,2992.0
71,75.0,43.0,2993.0
72,75.0,43.0,3246.0
73,75.0,43.0,3247.0
74,75.0,43.0,3248.0
75,75.0,43.0,3249.0
76,75.0,43.0,3502.0
77,75.0,43.0,3503.0
78,75.0,43.0,3504.0
79,75.0,43.0,3505.0
80,75.0,43.0,3758.0
81,75.0,43.0,3759.0
82,75.0,43.0,3760.0
83,75.0,43.0,3761.0
84,75.0,54.0,2215.0
85,75.0,54.0,2727.0
86,75.0,54.0,2983.0
87,75.0,54.0,3239.0
88,75.0,54.0,3751.0
89,75.0,55.0,2214.0
90,75.0,55.0,2726.0
91,75.0,55.0,2982.0
92,75.0,55.0,3238.0
93,75.0,55.0,3750.0
94,75.0,69.0,2221.0
95,75.0,69.0,2222.0
96,75.0,69.0,2477.0
97,75.0,69.0,2478.0
98,75.0,69.0,2733.0
99,75.0,69.0,2734.0
100,75.0,69.0,2989.0
101,75.0,69.0,2990.0
102,75.0,69.0,3245.0
103,75.0,69.0,3246.0
104,75.0,69.0,3757.0
105,75.0,69.0,3758.0
106,75.0,71.0,2219.0
107,75.0,72.0,2218.0
108,75.0,78.0,2231.0
109,76.0,42.0,2224.0
110,76.0,42.0,2225.0
111,76.0,42.0,2480.0
112,76.0,42.0,2481.0
113,76.0,42.0,2736.0
114,76.0,42.0,2737.0
115,76.0,42.0,2992.0
116,76.0,42.0,2993.0
117,76.0,42.0,3248.0
118,76.0,42.0,3249.0
119,76.0,42.0,3504.0
120,76.0,42.0,3505.0
121,76.0,42.0,3760.0
122,76.0,42.0,3761.0
123,76.0,43.0,2222.0
124,76.0,43.0,2223.0
125,76.0,43.0,2224.0
126,76.0,43.0,2225.0
127,76.0,43.0,2478.0
128,76.0,43.0,2479.0
129,76.0,43.0,2480.0
130,76.0,43.0,2481.0
131,76.0,43.0,2734.0
132,76.0,43.0,2735.0
133,76.0,43.0,2736.0
134,76.0,43.0,2737.0
135,76.0,43.0,2990.0
136,76.0,43.0,2991.0
137,76.0,43.0,2992.0
138,76.0,43.0,2993.0
139,76.0,43.0,3246.0
140,76.0,43.0,3247.0
141,76.0,43.0,3248.0
142,76.0,43.0,3249.0
143,76.0,43.0,3502.0
144,76.0,43.0,3503.0
145,76.0,43.0,3504.0
146,76.0,43.0,3505.0
147,76.0,43.0,3758.0
148,76.0,43.0,3759.0
149,76.0,43.0,3760.0
150,76.0,43.0,3761.0
151,76.0,44.0,2219.0
152,76.0,44.0,2220.0
153,76.0,54.0,2215.0
154,76.0,54.0,2727.0
155,76.0,54.0,2983.0
156,76.0,54.0,3239.0
157,76.0,54.0,3751.0
158,76.0,55.0,2213.0
159,76.0,55.0,2214.0
160,76.0,55.0,2725.0
161,76.0,55.0,2726.0
162,76.0,55.0,2981.0
163,76.0,55.0,2982.0
164,76.0,55.0,3237.0
165,76.0,55.0,3238.0
166,76.0,55.0,3749.0
167,76.0,55.0,3750.0
168,76.0,66.0,2194.0
169,76.0,67.0,2193.0
170,76.0,69.0,2219.0
171,76.0,69.0,2220.0
172,76.0,69.0,2221.0
173,76.0,69.0,2222.0
174,76.0,69.0,2477.0
175,76.0,69.0,2478.0
176,76.0,69.0,2733.0
177,76.0,69.0,2734.0
178,76.0,69.0,2989.0
179,76.0,69.0,2990.0
180,76.0,69.0,3245.0
181,76.0,69.0,3246.0
182,76.0,69.0,3757.0
183,76.0,69.0,3758.0
184,76.0,78.0,2231.0
185,77.0,43.0,2222.0
186,77.0,43.0,2223.0
187,77.0,43.0,2478.0
188,77.0,43.0,2479.0
189,77.0,43.0,2734.0
190,77.0,43.0,2735.0
191,77.0,43.0,2990.0
192,77.0,43.0,2991.0
193,77.0,43.0,3246.0
194,77.0,43.0,3247.0
195,77.0,43.0,3502.0
196,77.0,43.0,3503.0
197,77.0,43.0,3758.0
198,77.0,43.0,3759.0
199,77.0,44.0,2219.0
200,77.0,44.0,2220.0
201,77.0,54.0,2215.0
202,77.0,54.0,2727.0
203,77.0,54.0,2983.0
204,77.0,54.0,3239.0
205,77.0,54.0,3751.0
206,77.0,55.0,2213.0
207,77.0,55.0,2214.0
208,77.0,55.0,2215.0
209,77.0,55.0,2725.0
210,77.0,55.0,2726.0
211,77.0,55.0,2727.0
212,77.0,55.0,2981.0
213,77.0,55.0,2982.0
214,77.0,55.0,2983.0
215,77.0,55.0,3237.0
216,77.0,55.0,3238.0
217,77.0,55.0,3239.0
218,77.0,55.0,3749.0
219,77.0,55.0,3750.0
220,77.0,55.0,3751.0
221,77.0,56.0,2214.0
222,77.0,56.0,2726.0
223,77.0,56.0,2982.0
224,77.0,56.0,3238.0
225,77.0,56.0,3750.0
226,77.0,60.0,2220.0
227,77.0,61.0,2219.0
228,77.0,66.0,2194.0
229,77.0,67.0,2193.0
230,77.0,68.0,2223.0
231,77.0,68.0,2479.0
232,77.0,68.0,2735.0
233,77.0,68.0,2991.0
234,77.0,68.0,3247.0
235,77.0,68.0,3759.0
236,77.0,69.0,2221.0
237,77.0,69.0,2222.0
238,77.0,69.0,2477.0
239,77.0,69.0,2478.0
240,77.0,69.0,2733.0
241,77.0,69.0,2734.0
242,77.0,69.0,2989.0
243,77.0,69.0,2990.0
244,77.0,69.0,3245.0
245,77.0,69.0,3246.0
246,77.0,69.0,3757.0
247,77.0,69.0,3758.0
248,77.0,78.0,2231.0
249,77.0,79.0,2230.0
250,78.0,43.0,2204.0
251,78.0,43.0,2223.0
252,78.0,43.0,2479.0
253,78.0,43.0,2735.0
254,78.0,43.0,2991.0
255,78.0,43.0,3247.0
256,78.0,43.0,3503.0
257,78.0,43.0,3759.0
258,78.0,44.0,2200.0
259,78.0,44.0,2201.0
260,78.0,44.0,2202.0
261,78.0,44.0,2203.0
262,78.0,44.0,2217.0
