,0,1,2
0,76.0,55.0,2206.0
1,76.0,55.0,2207.0
2,76.0,55.0,2208.0
3,78.0,80.0,2211.0
4,78.0,80.0,2723.0
5,78.0,80.0,2979.0
6,78.0,80.0,3235.0
7,78.0,80.0,3491.0
8,78.0,80.0,3747.0
9,78.0,81.0,2209.0
10,78.0,81.0,2210.0
11,78.0,81.0,2721.0
12,78.0,81.0,2722.0
13,78.0,81.0,2977.0
14,78.0,81.0,2978.0
15,78.0,81.0,3233.0
16,78.0,81.0,3234.0
17,78.0,81.0,3489.0
18,78.0,81.0,3490.0
19,78.0,81.0,3745.0
20,78.0,81.0,3746.0
21,79.0,80.0,2211.0
22,79.0,80.0,2723.0
23,79.0,80.0,2979.0
24,79.0,80.0,3235.0
25,79.0,80.0,3491.0
26,79.0,80.0,3747.0
27,79.0,81.0,2209.0
28,79.0,81.0,2210.0
29,79.0,81.0,2721.0
30,79.0,81.0,2722.0
31,79.0,81.0,2977.0
32,79.0,81.0,2978.0
33,79.0,81.0,3233.0
34,79.0,81.0,3234.0
35,79.0,81.0,3489.0
36,79.0,81.0,3490.0
37,79.0,81.0,3745.0
38,79.0,81.0,3746.0
39,80.0,80.0,2209.0
40,80.0,80.0,2210.0
41,80.0,80.0,2211.0
42,80.0,80.0,2721.0
43,80.0,80.0,2722.0
44,80.0,80.0,2723.0
45,80.0,80.0,2977.0
46,80.0,80.0,2978.0
47,80.0,80.0,2979.0
48,80.0,80.0,3233.0
49,80.0,80.0,3234.0
50,80.0,80.0,3235.0
51,80.0,80.0,3489.0
52,80.0,80.0,3490.0
53,80.0,80.0,3491.0
54,80.0,80.0,3745.0
55,80.0,80.0,3746.0
56,80.0,80.0,3747.0
57,80.0,81.0,2209.0
58,80.0,81.0,2210.0
59,80.0,81.0,2721.0
60,80.0,81.0,2722.0
61,80.0,81.0,2977.0
62,80.0,81.0,2978.0
63,80.0,81.0,3233.0
64,80.0,81.0,3234.0
65,80.0,81.0,3489.0
66,80.0,81.0,3490.0
67,80.0,81.0,3745.0
68,80.0,81.0,3746.0
69,81.0,63.0,2208.0
70,81.0,63.0,2209.0
71,81.0,63.0,2210.0
72,81.0,63.0,2720.0
73,81.0,63.0,2721.0
74,81.0,63.0,2722.0
75,81.0,63.0,2976.0
76,81.0,63.0,2977.0
77,81.0,63.0,2978.0
78,81.0,63.0,3232.0
79,81.0,63.0,3233.0
80,81.0,63.0,3234.0
81,81.0,63.0,3744.0
82,81.0,63.0,3745.0
83,81.0,63.0,3746.0
84,81.0,64.0,2208.0
85,81.0,64.0,2209.0
86,81.0,64.0,2720.0
87,81.0,64.0,2721.0
88,81.0,64.0,2976.0
89,81.0,64.0,2977.0
90,81.0,64.0,3232.0
91,81.0,64.0,3233.0
92,81.0,64.0,3744.0
93,81.0,64.0,3745.0
94,82.0,32.0,2189.0
95,82.0,32.0,2201.0
96,82.0,32.0,2202.0
97,82.0,32.0,2445.0
98,82.0,32.0,2701.0
99,82.0,32.0,2957.0
100,82.0,32.0,3213.0
101,82.0,32.0,3469.0
102,82.0,32.0,3725.0
103,82.0,33.0,2186.0
104,82.0,33.0,2187.0
105,82.0,33.0,2188.0
106,82.0,33.0,2442.0
107,82.0,33.0,2443.0
108,82.0,33.0,2444.0
109,82.0,33.0,2698.0
110,82.0,33.0,2699.0
111,82.0,33.0,2700.0
112,82.0,33.0,2954.0
113,82.0,33.0,2955.0
114,82.0,33.0,2956.0
115,82.0,33.0,3210.0
116,82.0,33.0,3211.0
117,82.0,33.0,3212.0
118,82.0,33.0,3466.0
119,82.0,33.0,3467.0
120,82.0,33.0,3468.0
121,82.0,33.0,3722.0
122,82.0,33.0,3723.0
123,82.0,33.0,3724.0
124,82.0,34.0,2199.0
125,82.0,35.0,2197.0
126,82.0,35.0,2198.0
127,82.0,45.0,2207.0
128,82.0,45.0,2208.0
129,82.0,45.0,2209.0
130,82.0,63.0,2208.0
131,82.0,63.0,2209.0
132,82.0,63.0,2210.0
133,82.0,63.0,2720.0
134,82.0,63.0,2721.0
135,82.0,63.0,2722.0
136,82.0,63.0,2976.0
137,82.0,63.0,2977.0
138,82.0,63.0,2978.0
139,82.0,63.0,3232.0
140,82.0,63.0,3233.0
141,82.0,63.0,3234.0
142,82.0,63.0,3744.0
143,82.0,63.0,3745.0
144,82.0,63.0,3746.0
145,82.0,64.0,2208.0
146,82.0,64.0,2209.0
147,82.0,64.0,2720.0
148,82.0,64.0,2721.0
149,82.0,64.0,2976.0
150,82.0,64.0,2977.0
151,82.0,64.0,3232.0
152,82.0,64.0,3233.0
153,82.0,64.0,3744.0
154,82.0,64.0,3745.0
155,83.0,32.0,2189.0
156,83.0,32.0,2445.0
157,83.0,32.0,2701.0
158,83.0,32.0,2957.0
159,83.0,32.0,3213.0
160,83.0,32.0,3469.0
161,83.0,32.0,3725.0
162,83.0,33.0,2186.0
163,83.0,33.0,2187.0
164,83.0,33.0,2188.0
165,83.0,33.0,2442.0
166,83.0,33.0,2443.0
167,83.0,33.0,2444.0
168,83.0,33.0,2698.0
169,83.0,33.0,2699.0
170,83.0,33.0,2700.0
171,83.0,33.0,2954.0
172,83.0,33.0,2955.0
173,83.0,33.0,2956.0
