,0,1,2
0,68.0,60.0,2202.0
1,68.0,61.0,2200.0
2,70.0,49.0,2207.0
3,71.0,49.0,2206.0
4,71.0,49.0,2207.0
5,71.0,58.0,2199.0
6,71.0,58.0,2200.0
7,71.0,58.0,2201.0
8,72.0,49.0,2206.0
9,72.0,49.0,2207.0
10,72.0,76.0,2229.0
11,72.0,76.0,2230.0
12,73.0,47.0,2217.0
13,73.0,47.0,2218.0
14,73.0,47.0,2219.0
15,73.0,47.0,2473.0
16,73.0,47.0,2474.0
17,73.0,47.0,2475.0
18,73.0,47.0,2729.0
19,73.0,47.0,2730.0
20,73.0,47.0,2731.0
21,73.0,47.0,2985.0
22,73.0,47.0,2986.0
23,73.0,47.0,2987.0
24,73.0,47.0,3241.0
25,73.0,47.0,3242.0
26,73.0,47.0,3243.0
27,73.0,47.0,3497.0
28,73.0,47.0,3498.0
29,73.0,47.0,3499.0
30,73.0,47.0,3753.0
31,73.0,47.0,3754.0
32,73.0,47.0,3755.0
33,73.0,48.0,2218.0
34,73.0,48.0,2219.0
35,73.0,48.0,2474.0
36,73.0,48.0,2475.0
37,73.0,48.0,2730.0
38,73.0,48.0,2731.0
39,73.0,48.0,2986.0
40,73.0,48.0,2987.0
41,73.0,48.0,3242.0
42,73.0,48.0,3243.0
43,73.0,48.0,3498.0
44,73.0,48.0,3499.0
45,73.0,48.0,3754.0
46,73.0,48.0,3755.0
47,73.0,49.0,2206.0
48,73.0,49.0,2207.0
49,74.0,48.0,2218.0
50,74.0,48.0,2219.0
51,74.0,48.0,2474.0
52,74.0,48.0,2475.0
53,74.0,48.0,2730.0
54,74.0,48.0,2731.0
55,74.0,48.0,2986.0
56,74.0,48.0,2987.0
57,74.0,48.0,3242.0
58,74.0,48.0,3243.0
59,74.0,48.0,3498.0
60,74.0,48.0,3499.0
61,74.0,48.0,3754.0
62,74.0,48.0,3755.0
63,74.0,49.0,2208.0
64,74.0,49.0,2209.0
65,74.0,60.0,2199.0
66,74.0,74.0,2228.0
67,74.0,75.0,2227.0
68,74.0,75.0,2228.0
69,75.0,48.0,2218.0
70,75.0,48.0,2219.0
71,75.0,48.0,2474.0
72,75.0,48.0,2475.0
73,75.0,48.0,2730.0
74,75.0,48.0,2731.0
75,75.0,48.0,2986.0
76,75.0,48.0,2987.0
77,75.0,48.0,3242.0
78,75.0,48.0,3243.0
79,75.0,48.0,3498.0
80,75.0,48.0,3499.0
81,75.0,48.0,3754.0
82,75.0,48.0,3755.0
83,75.0,49.0,2218.0
84,75.0,49.0,2219.0
85,75.0,49.0,2474.0
86,75.0,49.0,2475.0
87,75.0,49.0,2730.0
88,75.0,49.0,2731.0
89,75.0,49.0,2986.0
90,75.0,49.0,2987.0
91,75.0,49.0,3242.0
92,75.0,49.0,3243.0
93,75.0,49.0,3498.0
94,75.0,49.0,3499.0
95,75.0,49.0,3754.0
96,75.0,49.0,3755.0
97,75.0,71.0,2237.0
98,75.0,71.0,2238.0
99,75.0,71.0,2239.0
100,75.0,74.0,2226.0
101,75.0,74.0,2227.0
102,76.0,48.0,2218.0
103,76.0,48.0,2219.0
104,76.0,48.0,2474.0
105,76.0,48.0,2475.0
106,76.0,48.0,2730.0
107,76.0,48.0,2731.0
108,76.0,48.0,2986.0
109,76.0,48.0,2987.0
110,76.0,48.0,3242.0
111,76.0,48.0,3243.0
112,76.0,48.0,3498.0
113,76.0,48.0,3499.0
114,76.0,48.0,3754.0
115,76.0,48.0,3755.0
116,76.0,49.0,2218.0
117,76.0,49.0,2219.0
118,76.0,49.0,2474.0
119,76.0,49.0,2475.0
120,76.0,49.0,2730.0
121,76.0,49.0,2731.0
122,76.0,49.0,2986.0
123,76.0,49.0,2987.0
124,76.0,49.0,3242.0
125,76.0,49.0,3243.0
126,76.0,49.0,3498.0
127,76.0,49.0,3499.0
128,76.0,49.0,3754.0
129,76.0,49.0,3755.0
130,76.0,54.0,2223.0
131,76.0,54.0,2224.0
132,76.0,71.0,2235.0
133,76.0,71.0,2236.0
134,76.0,72.0,2235.0
135,76.0,73.0,2232.0
136,76.0,73.0,2488.0
137,76.0,73.0,2744.0
138,76.0,73.0,3000.0
139,76.0,73.0,3256.0
140,76.0,73.0,3512.0
141,76.0,73.0,3768.0
142,76.0,74.0,2229.0
143,76.0,74.0,2230.0
144,76.0,74.0,2231.0
