,0,1,2
0,75.0,45.0,2215.0
1,75.0,46.0,2213.0
2,75.0,73.0,2223.0
3,75.0,73.0,2224.0
4,76.0,45.0,2211.0
5,76.0,45.0,2212.0
6,76.0,45.0,2467.0
7,76.0,45.0,2468.0
8,76.0,45.0,2723.0
9,76.0,45.0,2724.0
10,76.0,45.0,2979.0
11,76.0,45.0,2980.0
12,76.0,45.0,3235.0
13,76.0,45.0,3236.0
14,76.0,45.0,3491.0
15,76.0,45.0,3492.0
16,76.0,45.0,3747.0
17,76.0,45.0,3748.0
18,76.0,46.0,2210.0
19,76.0,46.0,2466.0
20,76.0,46.0,2722.0
21,76.0,46.0,2978.0
22,76.0,46.0,3234.0
23,76.0,46.0,3490.0
24,76.0,46.0,3746.0
25,76.0,47.0,2211.0
26,76.0,49.0,2224.0
27,76.0,49.0,2225.0
28,76.0,49.0,2480.0
29,76.0,49.0,2481.0
30,76.0,49.0,2736.0
31,76.0,49.0,2737.0
32,76.0,49.0,2992.0
33,76.0,49.0,2993.0
34,76.0,49.0,3248.0
35,76.0,49.0,3249.0
36,76.0,49.0,3504.0
37,76.0,49.0,3505.0
38,76.0,49.0,3760.0
39,76.0,49.0,3761.0
40,76.0,50.0,2223.0
41,76.0,50.0,2479.0
42,76.0,50.0,2735.0
43,76.0,50.0,2991.0
44,76.0,50.0,3247.0
45,76.0,50.0,3503.0
46,76.0,50.0,3759.0
47,76.0,70.0,2230.0
48,76.0,70.0,2231.0
49,76.0,71.0,2226.0
50,76.0,71.0,2482.0
51,76.0,71.0,2738.0
52,76.0,71.0,2994.0
53,76.0,71.0,3250.0
54,76.0,71.0,3506.0
55,76.0,71.0,3762.0
56,76.0,72.0,2225.0
57,76.0,72.0,2481.0
58,76.0,72.0,2737.0
59,76.0,72.0,2993.0
60,76.0,72.0,3249.0
61,76.0,72.0,3505.0
62,76.0,72.0,3761.0
63,77.0,43.0,2213.0
64,77.0,43.0,2469.0
65,77.0,43.0,2725.0
66,77.0,43.0,2981.0
67,77.0,43.0,3237.0
68,77.0,43.0,3493.0
69,77.0,43.0,3749.0
70,77.0,44.0,2211.0
71,77.0,44.0,2212.0
72,77.0,44.0,2467.0
73,77.0,44.0,2468.0
74,77.0,44.0,2723.0
75,77.0,44.0,2724.0
76,77.0,44.0,2979.0
77,77.0,44.0,2980.0
78,77.0,44.0,3235.0
79,77.0,44.0,3236.0
80,77.0,44.0,3491.0
81,77.0,44.0,3492.0
82,77.0,44.0,3747.0
83,77.0,44.0,3748.0
84,77.0,45.0,2209.0
85,77.0,45.0,2210.0
86,77.0,45.0,2211.0
87,77.0,45.0,2212.0
88,77.0,45.0,2213.0
89,77.0,45.0,2214.0
90,77.0,45.0,2465.0
91,77.0,45.0,2466.0
92,77.0,45.0,2467.0
93,77.0,45.0,2468.0
94,77.0,45.0,2469.0
95,77.0,45.0,2470.0
96,77.0,45.0,2721.0
97,77.0,45.0,2722.0
98,77.0,45.0,2723.0
99,77.0,45.0,2724.0
100,77.0,45.0,2725.0
101,77.0,45.0,2726.0
102,77.0,45.0,2977.0
103,77.0,45.0,2978.0
104,77.0,45.0,2979.0
105,77.0,45.0,2980.0
106,77.0,45.0,2981.0
107,77.0,45.0,2982.0
108,77.0,45.0,3233.0
109,77.0,45.0,3234.0
110,77.0,45.0,3235.0
111,77.0,45.0,3236.0
112,77.0,45.0,3237.0
113,77.0,45.0,3238.0
114,77.0,45.0,3489.0
115,77.0,45.0,3490.0
116,77.0,45.0,3491.0
117,77.0,45.0,3492.0
118,77.0,45.0,3493.0
119,77.0,45.0,3494.0
120,77.0,45.0,3745.0
121,77.0,45.0,3746.0
122,77.0,45.0,3747.0
123,77.0,45.0,3748.0
124,77.0,45.0,3749.0
125,77.0,45.0,3750.0
126,77.0,46.0,2210.0
127,77.0,46.0,2211.0
128,77.0,46.0,2212.0
129,77.0,46.0,2466.0
130,77.0,46.0,2467.0
131,77.0,46.0,2468.0
132,77.0,46.0,2722.0
133,77.0,46.0,2723.0
134,77.0,46.0,2724.0
135,77.0,46.0,2978.0
136,77.0,46.0,2979.0
137,77.0,46.0,2980.0
138,77.0,46.0,3234.0
139,77.0,46.0,3235.0
140,77.0,46.0,3236.0
141,77.0,46.0,3490.0
142,77.0,46.0,3491.0
143,77.0,46.0,3492.0
144,77.0,46.0,3746.0
145,77.0,46.0,3747.0
146,77.0,46.0,3748.0
147,77.0,49.0,2224.0
148,77.0,49.0,2225.0
149,77.0,49.0,2480.0
150,77.0,49.0,2481.0
151,77.0,49.0,2736.0
152,77.0,49.0,2737.0
153,77.0,49.0,2992.0
154,77.0,49.0,2993.0
155,77.0,49.0,3248.0
156,77.0,49.0,3249.0
157,77.0,49.0,3504.0
158,77.0,49.0,3505.0
159,77.0,49.0,3760.0
160,77.0,49.0,3761.0
161,77.0,50.0,2223.0
162,77.0,50.0,2479.0
163,77.0,50.0,2735.0
164,77.0,50.0,2991.0
165,77.0,50.0,3247.0
166,77.0,50.0,3503.0
167,77.0,50.0,3759.0
168,77.0,66.0,2232.0
169,77.0,66.0,2488.0
170,77.0,66.0,2744.0
171,77.0,66.0,3000.0
172,77.0,66.0,3256.0
173,77.0,66.0,3512.0
174,77.0,66.0,3768.0
175,77.0,67.0,2230.0
176,77.0,67.0,2231.0
177,77.0,67.0,2486.0
178,77.0,67.0,2487.0
179,77.0,67.0,2742.0
180,77.0,67.0,2743.0
181,77.0,67.0,2998.0
182,77.0,67.0,2999.0
183,77.0,67.0,3254.0
184,77.0,67.0,3255.0
185,77.0,67.0,3510.0
186,77.0,67.0,3511.0
187,77.0,67.0,3766.0
188,77.0,67.0,3767.0
189,77.0,69.0,2230.0
190,77.0,69.0,2231.0
191,77.0,71.0,2224.0
192,77.0,71.0,2225.0
193,77.0,71.0,2226.0
194,77.0,71.0,2480.0
195,77.0,71.0,2481.0
196,77.0,71.0,2482.0
197,77.0,71.0,2736.0
198,77.0,71.0,2737.0
199,77.0,71.0,2738.0
200,77.0,71.0,2992.0
201,77.0,71.0,2993.0
202,77.0,71.0,2994.0
203,77.0,71.0,3248.0
204,77.0,71.0,3249.0
205,77.0,71.0,3250.0
206,77.0,71.0,3504.0
207,77.0,71.0,3505.0
208,77.0,71.0,3506.0
209,77.0,71.0,3760.0
210,77.0,71.0,3761.0
211,77.0,71.0,3762.0
212,77.0,72.0,2225.0
213,77.0,72.0,2481.0
214,77.0,72.0,2737.0
215,77.0,72.0,2993.0
216,77.0,72.0,3249.0
217,77.0,72.0,3505.0
218,77.0,72.0,3761.0
219,78.0,36.0,2201.0
220,78.0,36.0,2457.0
221,78.0,36.0,2713.0
222,78.0,36.0,2969.0
223,78.0,36.0,3225.0
224,78.0,36.0,3481.0
225,78.0,36.0,3737.0
226,78.0,37.0,2200.0
227,78.0,37.0,2201.0
228,78.0,37.0,2456.0
229,78.0,37.0,2457.0
230,78.0,37.0,2712.0
231,78.0,37.0,2713.0
232,78.0,37.0,2968.0
233,78.0,37.0,2969.0
234,78.0,37.0,3224.0
235,78.0,37.0,3225.0
236,78.0,37.0,3480.0
237,78.0,37.0,3481.0
238,78.0,37.0,3736.0
239,78.0,37.0,3737.0
240,78.0,45.0,2211.0
241,78.0,45.0,2212.0
242,78.0,45.0,2213.0
243,78.0,45.0,2214.0
244,78.0,45.0,2215.0
245,78.0,45.0,2467.0
246,78.0,45.0,2468.0
247,78.0,45.0,2469.0
248,78.0,45.0,2470.0
249,78.0,45.0,2471.0
250,78.0,45.0,2723.0
251,78.0,45.0,2724.0
252,78.0,45.0,2725.0
253,78.0,45.0,2726.0
254,78.0,45.0,2727.0
255,78.0,45.0,2979.0
256,78.0,45.0,2980.0
257,78.0,45.0,2981.0
258,78.0,45.0,2982.0
259,78.0,45.0,2983.0
260,78.0,45.0,3235.0
