,0,1,2
0,71.0,73.0,2232.0
1,71.0,73.0,2233.0
2,71.0,74.0,2231.0
3,72.0,73.0,2232.0
4,72.0,73.0,2233.0
5,72.0,74.0,2231.0
6,72.0,75.0,2229.0
7,74.0,74.0,2229.0
8,74.0,74.0,2230.0
9,74.0,75.0,2228.0
10,75.0,62.0,2246.0
11,75.0,63.0,2245.0
12,76.0,71.0,2234.0
13,76.0,71.0,2235.0
14,76.0,72.0,2233.0
15,76.0,96.0,2235.0
16,76.0,96.0,2236.0
17,76.0,97.0,2234.0
18,77.0,38.0,2233.0
19,77.0,39.0,2232.0
20,77.0,66.0,2238.0
21,77.0,66.0,2494.0
22,77.0,66.0,2750.0
23,77.0,66.0,3006.0
24,77.0,66.0,3262.0
25,77.0,66.0,3518.0
26,77.0,66.0,3774.0
27,77.0,67.0,2236.0
28,77.0,67.0,2237.0
29,77.0,67.0,2238.0
30,77.0,67.0,2239.0
31,77.0,67.0,2492.0
32,77.0,67.0,2493.0
33,77.0,67.0,2494.0
34,77.0,67.0,2495.0
35,77.0,67.0,2748.0
36,77.0,67.0,2749.0
37,77.0,67.0,2750.0
38,77.0,67.0,2751.0
39,77.0,67.0,3004.0
40,77.0,67.0,3005.0
41,77.0,67.0,3006.0
42,77.0,67.0,3007.0
43,77.0,67.0,3260.0
44,77.0,67.0,3261.0
45,77.0,67.0,3262.0
46,77.0,67.0,3263.0
47,77.0,67.0,3516.0
48,77.0,67.0,3517.0
49,77.0,67.0,3518.0
50,77.0,67.0,3519.0
51,77.0,67.0,3772.0
52,77.0,67.0,3773.0
53,77.0,67.0,3774.0
54,77.0,67.0,3775.0
55,77.0,68.0,2237.0
56,77.0,68.0,2493.0
57,77.0,68.0,2749.0
58,77.0,68.0,3005.0
59,77.0,68.0,3261.0
60,77.0,68.0,3517.0
61,77.0,68.0,3773.0
62,77.0,96.0,2235.0
63,77.0,96.0,2236.0
64,77.0,97.0,2234.0
65,78.0,38.0,2233.0
66,78.0,52.0,2224.0
67,78.0,53.0,2222.0
68,78.0,62.0,2245.0
69,78.0,63.0,2244.0
70,78.0,66.0,2237.0
71,78.0,66.0,2238.0
72,78.0,66.0,2493.0
73,78.0,66.0,2494.0
74,78.0,66.0,2749.0
75,78.0,66.0,2750.0
76,78.0,66.0,3005.0
77,78.0,66.0,3006.0
78,78.0,66.0,3261.0
79,78.0,66.0,3262.0
80,78.0,66.0,3517.0
81,78.0,66.0,3518.0
82,78.0,66.0,3773.0
83,78.0,66.0,3774.0
84,78.0,67.0,2236.0
85,78.0,67.0,2237.0
86,78.0,67.0,2492.0
87,78.0,67.0,2493.0
88,78.0,67.0,2748.0
89,78.0,67.0,2749.0
90,78.0,67.0,3004.0
91,78.0,67.0,3005.0
92,78.0,67.0,3260.0
93,78.0,67.0,3261.0
94,78.0,67.0,3516.0
95,78.0,67.0,3517.0
96,78.0,67.0,3772.0
97,78.0,67.0,3773.0
98,78.0,68.0,2235.0
99,78.0,68.0,2491.0
100,78.0,68.0,2747.0
101,78.0,68.0,3003.0
102,78.0,68.0,3259.0
103,78.0,68.0,3515.0
104,78.0,68.0,3771.0
105,78.0,69.0,2234.0
106,78.0,69.0,2490.0
107,78.0,69.0,2746.0
108,78.0,69.0,3002.0
109,78.0,69.0,3258.0
110,78.0,69.0,3514.0
111,78.0,69.0,3770.0
112,78.0,72.0,2226.0
113,78.0,72.0,2227.0
114,79.0,44.0,2221.0
115,79.0,44.0,2222.0
116,79.0,44.0,2223.0
117,79.0,44.0,2477.0
118,79.0,44.0,2478.0
119,79.0,44.0,2479.0
120,79.0,44.0,2733.0
121,79.0,44.0,2734.0
122,79.0,44.0,2735.0
123,79.0,44.0,2989.0
124,79.0,44.0,2990.0
125,79.0,44.0,2991.0
126,79.0,44.0,3245.0
127,79.0,44.0,3246.0
128,79.0,44.0,3247.0
129,79.0,44.0,3501.0
130,79.0,44.0,3502.0
131,79.0,44.0,3503.0
132,79.0,44.0,3757.0
133,79.0,44.0,3758.0
134,79.0,44.0,3759.0
135,79.0,45.0,2218.0
136,79.0,45.0,2221.0
137,79.0,45.0,2222.0
138,79.0,45.0,2474.0
139,79.0,45.0,2477.0
140,79.0,45.0,2478.0
141,79.0,45.0,2730.0
142,79.0,45.0,2733.0
143,79.0,45.0,2734.0
144,79.0,45.0,2986.0
145,79.0,45.0,2989.0
146,79.0,45.0,2990.0
147,79.0,45.0,3242.0
148,79.0,45.0,3245.0
149,79.0,45.0,3246.0
150,79.0,45.0,3498.0
151,79.0,45.0,3501.0
152,79.0,45.0,3502.0
153,79.0,45.0,3754.0
154,79.0,45.0,3757.0
155,79.0,45.0,3758.0
156,79.0,62.0,2240.0
157,79.0,62.0,2241.0
158,79.0,62.0,2242.0
159,79.0,62.0,2496.0
160,79.0,62.0,2497.0
161,79.0,62.0,2498.0
162,79.0,62.0,2752.0
163,79.0,62.0,2753.0
164,79.0,62.0,2754.0
165,79.0,62.0,3008.0
166,79.0,62.0,3009.0
167,79.0,62.0,3010.0
168,79.0,62.0,3264.0
169,79.0,62.0,3265.0
170,79.0,62.0,3266.0
171,79.0,62.0,3520.0
172,79.0,62.0,3521.0
173,79.0,62.0,3522.0
174,79.0,62.0,3776.0
175,79.0,62.0,3777.0
176,79.0,62.0,3778.0
177,79.0,63.0,2240.0
178,79.0,63.0,2241.0
179,79.0,63.0,2496.0
180,79.0,63.0,2497.0
181,79.0,63.0,2752.0
182,79.0,63.0,2753.0
183,79.0,63.0,3008.0
184,79.0,63.0,3009.0
185,79.0,63.0,3264.0
186,79.0,63.0,3265.0
187,79.0,63.0,3520.0
188,79.0,63.0,3521.0
189,79.0,63.0,3776.0
190,79.0,63.0,3777.0
191,79.0,66.0,2238.0
192,79.0,66.0,2494.0
193,79.0,66.0,2750.0
194,79.0,66.0,3006.0
195,79.0,66.0,3262.0
196,79.0,66.0,3518.0
197,79.0,66.0,3774.0
198,79.0,67.0,2237.0
199,79.0,67.0,2493.0
200,79.0,67.0,2749.0
201,79.0,67.0,3005.0
202,79.0,67.0,3261.0
203,79.0,67.0,3517.0
204,79.0,67.0,3773.0
205,79.0,71.0,2230.0
206,79.0,71.0,2233.0
207,79.0,71.0,2234.0
208,79.0,71.0,2489.0
209,79.0,71.0,2490.0
210,79.0,71.0,2745.0
211,79.0,71.0,2746.0
212,79.0,71.0,3001.0
213,79.0,71.0,3002.0
214,79.0,71.0,3257.0
215,79.0,71.0,3258.0
216,79.0,71.0,3513.0
217,79.0,71.0,3514.0
218,79.0,71.0,3769.0
219,79.0,71.0,3770.0
220,79.0,72.0,2229.0
221,80.0,37.0,2233.0
222,80.0,38.0,2231.0
223,80.0,38.0,2232.0
224,80.0,43.0,2225.0
225,80.0,43.0,2481.0
226,80.0,43.0,2737.0
227,80.0,43.0,2993.0
228,80.0,43.0,3249.0
229,80.0,43.0,3505.0
230,80.0,43.0,3761.0
231,80.0,44.0,2221.0
232,80.0,44.0,2222.0
233,80.0,44.0,2223.0
234,80.0,44.0,2477.0
235,80.0,44.0,2478.0
236,80.0,44.0,2479.0
237,80.0,44.0,2733.0
238,80.0,44.0,2734.0
239,80.0,44.0,2735.0
240,80.0,44.0,2989.0
241,80.0,44.0,2990.0
242,80.0,44.0,2991.0
243,80.0,44.0,3245.0
244,80.0,44.0,3246.0
245,80.0,44.0,3247.0
246,80.0,44.0,3501.0
247,80.0,44.0,3502.0
248,80.0,44.0,3503.0
249,80.0,44.0,3757.0
250,80.0,44.0,3758.0
251,80.0,44.0,3759.0
252,80.0,45.0,2218.0
253,80.0,45.0,2219.0
254,80.0,45.0,2220.0
255,80.0,45.0,2221.0
256,80.0,45.0,2222.0
257,80.0,45.0,2474.0
258,80.0,45.0,2475.0
259,80.0,45.0,2476.0
260,80.0,45.0,2477.0
261,80.0,45.0,2478.0
262,80.0,45.0,2730.0
263,80.0,45.0,2731.0
264,80.0,45.0,2732.0
265,80.0,45.0,2733.0
266,80.0,45.0,2734.0
267,80.0,45.0,2986.0
268,80.0,45.0,2987.0
269,80.0,45.0,2988.0
270,80.0,45.0,2989.0
271,80.0,45.0,2990.0
272,80.0,45.0,3242.0
273,80.0,45.0,3243.0
274,80.0,45.0,3244.0
275,80.0,45.0,3245.0
276,80.0,45.0,3246.0
277,80.0,45.0,3498.0
278,80.0,45.0,3499.0
279,80.0,45.0,3500.0
280,80.0,45.0,3501.0
281,80.0,45.0,3502.0
282,80.0,45.0,3754.0
283,80.0,45.0,3755.0
284,80.0,45.0,3756.0
285,80.0,45.0,3757.0
286,80.0,45.0,3758.0
287,80.0,46.0,2218.0
288,80.0,46.0,2474.0
289,80.0,46.0,2730.0
290,80.0,46.0,2986.0
291,80.0,46.0,3242.0
292,80.0,46.0,3498.0
293,80.0,46.0,3754.0
294,80.0,53.0,2233.0
295,80.0,53.0,2252.0
296,80.0,53.0,2253.0
297,80.0,54.0,2231.0
298,80.0,54.0,2232.0
299,80.0,54.0,2251.0
300,80.0,60.0,2244.0
301,80.0,60.0,2247.0
302,80.0,60.0,2500.0
303,80.0,60.0,2756.0
304,80.0,60.0,3012.0
305,80.0,60.0,3268.0
306,80.0,60.0,3524.0
307,80.0,60.0,3780.0
308,80.0,61.0,2242.0
309,80.0,61.0,2243.0
310,80.0,61.0,2244.0
311,80.0,61.0,2246.0
312,80.0,61.0,2498.0
313,80.0,61.0,2499.0
314,80.0,61.0,2500.0
315,80.0,61.0,2754.0
316,80.0,61.0,2755.0
317,80.0,61.0,2756.0
318,80.0,61.0,3010.0
319,80.0,61.0,3011.0
320,80.0,61.0,3012.0
321,80.0,61.0,3266.0
322,80.0,61.0,3267.0
323,80.0,61.0,3268.0
324,80.0,61.0,3522.0
325,80.0,61.0,3523.0
326,80.0,61.0,3524.0
327,80.0,61.0,3778.0
328,80.0,61.0,3779.0
329,80.0,61.0,3780.0
330,80.0,62.0,2240.0
331,80.0,62.0,2241.0
332,80.0,62.0,2242.0
333,80.0,62.0,2496.0
334,80.0,62.0,2497.0
335,80.0,62.0,2498.0
336,80.0,62.0,2752.0
337,80.0,62.0,2753.0
338,80.0,62.0,2754.0
339,80.0,62.0,3008.0
340,80.0,62.0,3009.0
341,80.0,62.0,3010.0
342,80.0,62.0,3264.0
343,80.0,62.0,3265.0
344,80.0,62.0,3266.0
345,80.0,62.0,3520.0
346,80.0,62.0,3521.0
347,80.0,62.0,3522.0
348,80.0,62.0,3776.0
349,80.0,62.0,3777.0
350,80.0,62.0,3778.0
351,80.0,63.0,2240.0
352,80.0,63.0,2241.0
353,80.0,63.0,2496.0
354,80.0,63.0,2497.0
355,80.0,63.0,2752.0
356,80.0,63.0,2753.0
357,80.0,63.0,3008.0
358,80.0,63.0,3009.0
359,80.0,63.0,3264.0
360,80.0,63.0,3265.0
361,80.0,63.0,3520.0
362,80.0,63.0,3521.0
363,80.0,63.0,3776.0
364,80.0,63.0,3777.0
365,80.0,69.0,2225.0
366,80.0,69.0,2235.0
367,80.0,69.0,2236.0
368,80.0,69.0,2237.0
369,80.0,69.0,2491.0
370,80.0,69.0,2492.0
