,0,1,2
0,72.0,71.0,2238.0
1,72.0,72.0,2237.0
2,73.0,67.0,2222.0
3,73.0,67.0,2478.0
4,73.0,67.0,2734.0
5,73.0,67.0,2990.0
6,73.0,67.0,3246.0
7,73.0,67.0,3502.0
8,73.0,67.0,3758.0
9,73.0,68.0,2218.0
10,73.0,68.0,2219.0
11,73.0,68.0,2220.0
12,73.0,68.0,2474.0
13,73.0,68.0,2475.0
14,73.0,68.0,2476.0
15,73.0,68.0,2730.0
16,73.0,68.0,2731.0
17,73.0,68.0,2732.0
18,73.0,68.0,2986.0
19,73.0,68.0,2987.0
20,73.0,68.0,2988.0
21,73.0,68.0,3242.0
22,73.0,68.0,3243.0
23,73.0,68.0,3244.0
24,73.0,68.0,3498.0
25,73.0,68.0,3499.0
26,73.0,68.0,3500.0
27,73.0,68.0,3754.0
28,73.0,68.0,3755.0
29,73.0,68.0,3756.0
30,73.0,69.0,2218.0
31,73.0,69.0,2219.0
32,73.0,69.0,2220.0
33,73.0,69.0,2474.0
34,73.0,69.0,2475.0
35,73.0,69.0,2476.0
36,73.0,69.0,2730.0
37,73.0,69.0,2731.0
38,73.0,69.0,2732.0
39,73.0,69.0,2986.0
40,73.0,69.0,2987.0
41,73.0,69.0,2988.0
42,73.0,69.0,3242.0
43,73.0,69.0,3243.0
44,73.0,69.0,3244.0
45,73.0,69.0,3498.0
46,73.0,69.0,3499.0
47,73.0,69.0,3500.0
48,73.0,69.0,3754.0
49,73.0,69.0,3755.0
50,73.0,69.0,3756.0
51,73.0,70.0,2219.0
52,73.0,70.0,2220.0
53,73.0,70.0,2475.0
54,73.0,70.0,2476.0
55,73.0,70.0,2731.0
56,73.0,70.0,2732.0
57,73.0,70.0,2987.0
58,73.0,70.0,2988.0
59,73.0,70.0,3243.0
60,73.0,70.0,3244.0
61,73.0,70.0,3499.0
62,73.0,70.0,3500.0
63,73.0,70.0,3755.0
64,73.0,70.0,3756.0
65,73.0,71.0,2238.0
66,73.0,71.0,2239.0
67,73.0,72.0,2237.0
68,74.0,67.0,2221.0
69,74.0,67.0,2222.0
70,74.0,67.0,2477.0
71,74.0,67.0,2478.0
72,74.0,67.0,2733.0
73,74.0,67.0,2734.0
74,74.0,67.0,2989.0
75,74.0,67.0,2990.0
76,74.0,67.0,3245.0
77,74.0,67.0,3246.0
78,74.0,67.0,3501.0
79,74.0,67.0,3502.0
80,74.0,67.0,3757.0
81,74.0,67.0,3758.0
82,74.0,68.0,2218.0
83,74.0,68.0,2219.0
84,74.0,68.0,2220.0
85,74.0,68.0,2474.0
86,74.0,68.0,2475.0
87,74.0,68.0,2476.0
88,74.0,68.0,2730.0
89,74.0,68.0,2731.0
90,74.0,68.0,2732.0
91,74.0,68.0,2986.0
92,74.0,68.0,2987.0
93,74.0,68.0,2988.0
94,74.0,68.0,3242.0
95,74.0,68.0,3243.0
96,74.0,68.0,3244.0
97,74.0,68.0,3498.0
98,74.0,68.0,3499.0
99,74.0,68.0,3500.0
100,74.0,68.0,3754.0
101,74.0,68.0,3755.0
