,0,1,2
0,73.0,47.0,2207.0
1,73.0,47.0,2208.0
2,73.0,51.0,2204.0
3,73.0,52.0,2203.0
4,74.0,47.0,2207.0
5,74.0,47.0,2208.0
6,74.0,75.0,2222.0
7,74.0,75.0,2223.0
8,74.0,75.0,2734.0
9,74.0,75.0,2735.0
10,74.0,75.0,2990.0
11,74.0,75.0,2991.0
12,74.0,75.0,3246.0
13,74.0,75.0,3247.0
14,74.0,75.0,3502.0
15,74.0,75.0,3503.0
16,74.0,75.0,3758.0
17,74.0,75.0,3759.0
18,74.0,87.0,2232.0
19,74.0,87.0,2233.0
20,75.0,47.0,2207.0
21,75.0,47.0,2208.0
22,75.0,50.0,2213.0
23,75.0,50.0,2725.0
24,75.0,50.0,2981.0
25,75.0,50.0,3237.0
26,75.0,50.0,3749.0
27,75.0,74.0,2222.0
28,75.0,74.0,2223.0
29,75.0,74.0,2734.0
30,75.0,74.0,2735.0
31,75.0,74.0,2990.0
32,75.0,74.0,2991.0
33,75.0,74.0,3246.0
34,75.0,74.0,3247.0
35,75.0,74.0,3502.0
36,75.0,74.0,3503.0
37,75.0,74.0,3758.0
38,75.0,74.0,3759.0
39,75.0,75.0,2222.0
40,75.0,75.0,2223.0
41,75.0,75.0,2734.0
42,75.0,75.0,2735.0
43,75.0,75.0,2990.0
44,75.0,75.0,2991.0
45,75.0,75.0,3246.0
46,75.0,75.0,3247.0
47,75.0,75.0,3502.0
48,75.0,75.0,3503.0
49,75.0,75.0,3758.0
50,75.0,75.0,3759.0
51,76.0,49.0,2213.0
52,76.0,49.0,2214.0
53,76.0,49.0,2725.0
54,76.0,49.0,2726.0
55,76.0,49.0,2981.0
56,76.0,49.0,2982.0
57,76.0,49.0,3237.0
58,76.0,49.0,3238.0
59,76.0,49.0,3749.0
60,76.0,49.0,3750.0
61,76.0,50.0,2213.0
62,76.0,50.0,2725.0
63,76.0,50.0,2981.0
64,76.0,50.0,3237.0
65,76.0,50.0,3749.0
66,76.0,74.0,2222.0
67,76.0,74.0,2223.0
68,76.0,74.0,2734.0
69,76.0,74.0,2735.0
70,76.0,74.0,2990.0
71,76.0,74.0,2991.0
72,76.0,74.0,3246.0
73,76.0,74.0,3247.0
74,76.0,74.0,3502.0
75,76.0,74.0,3503.0
76,76.0,74.0,3758.0
77,76.0,74.0,3759.0
78,77.0,38.0,2218.0
79,77.0,38.0,2219.0
80,77.0,49.0,2211.0
81,77.0,50.0,2210.0
82,77.0,50.0,2213.0
83,77.0,50.0,2214.0
84,77.0,50.0,2725.0
85,77.0,50.0,2726.0
86,77.0,50.0,2981.0
87,77.0,50.0,2982.0
88,77.0,50.0,3237.0
89,77.0,50.0,3238.0
90,77.0,50.0,3749.0
91,77.0,50.0,3750.0
92,77.0,51.0,2219.0
93,77.0,74.0,2222.0
94,77.0,74.0,2223.0
95,77.0,74.0,2734.0
96,77.0,74.0,2735.0
97,77.0,74.0,2990.0
98,77.0,74.0,2991.0
99,77.0,74.0,3246.0
100,77.0,74.0,3247.0
101,77.0,74.0,3502.0
102,77.0,74.0,3503.0
103,77.0,74.0,3758.0
104,77.0,74.0,3759.0
105,77.0,75.0,2222.0
106,77.0,75.0,2223.0
107,77.0,75.0,2734.0
108,77.0,75.0,2735.0
109,77.0,75.0,2990.0
110,77.0,75.0,2991.0
111,77.0,75.0,3246.0
112,77.0,75.0,3247.0
113,77.0,75.0,3502.0
114,77.0,75.0,3503.0
115,77.0,75.0,3758.0
116,77.0,75.0,3759.0
117,77.0,85.0,2227.0
118,77.0,85.0,2228.0
119,77.0,86.0,2233.0
120,77.0,87.0,2228.0
121,77.0,87.0,2232.0
122,77.0,87.0,2233.0
123,77.0,88.0,2227.0
124,78.0,38.0,2218.0
125,78.0,38.0,2219.0
126,78.0,50.0,2218.0
127,78.0,50.0,2730.0
128,78.0,50.0,2986.0
129,78.0,50.0,3242.0
130,78.0,50.0,3498.0
131,78.0,50.0,3754.0
132,78.0,72.0,2219.0
133,78.0,72.0,2220.0
134,78.0,84.0,2227.0
135,78.0,84.0,2228.0
136,78.0,87.0,2232.0
137,78.0,87.0,2233.0
138,79.0,49.0,2219.0
139,79.0,49.0,2731.0
140,79.0,49.0,2987.0
141,79.0,49.0,3243.0
142,79.0,49.0,3499.0
143,79.0,49.0,3755.0
144,79.0,50.0,2218.0
